C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
102|BD+85 48                           |*  |03 04 34.9177070703 +85 51 23.466741160|     ~| 9.17 | 8.74 |     ~|     ~|F2             |   0|   0
103|HD 17243                           |*  |03 06 15.1134028180 +85 51 48.874634284|     ~| 8.85 | 8.78 |     ~|     ~|A0             |   7|   0
104|BD+84 38                           |*  |02 28 14.3277333465 +85 10 47.959788552|     ~| 9.97 | 9.47 |     ~|     ~|F8             |   1|   0
105|BD+84 40                           |*  |02 29 05.2821142054 +85 03 49.507679228|     ~| 9.80 | 8.73 |     ~|     ~|G5             |   0|   0
106|HD 14955                           |PM*|02 39 47.9978026775 +85 03 33.570942832|     ~| 9.21 | 8.58 |     ~|     ~|G5             |  22|   0
107|BD+84 43                           |*  |02 43 29.8266206574 +85 17 34.443812423|     ~|10.04 | 9.62 |     ~|     ~|F2             |   0|   0
108|BD+84 44                           |*  |02 47 02.9220931256 +85 32 29.823840138|     ~|11.03 | 9.52 |     ~|     ~|K2             |   0|   0
109|BD+84 45                           |*  |02 59 42.5843547501 +85 10 26.336905911|     ~|10.23 | 8.66 |     ~|     ~|M1             |   0|   0
110|BD+84 57                           |*  |03 32 47.8455125233 +85 09 38.667061992|     ~| 9.96 | 9.31 |     ~|     ~|G0             |   0|   0
111|HD 199135                          |*  |20 33 49.0136688885 +85 39 19.537504259|     ~| 9.30 | 7.81 |     ~|     ~|K0             |   1|   0
112|HD 199436                          |*  |20 35 05.9255053089 +85 50 08.075804266|     ~| 9.71 | 9.36 |     ~|     ~|G5             |   3|   0
113|HD 201748                          |*  |20 50 42.6901949884 +85 52 04.621193791|     ~| 8.75 | 8.51 |     ~|     ~|F0             |   4|   0
114|HD 194836                          |*  |20 07 01.0733880876 +85 05 26.694926471|     ~| 8.86 | 7.77 |     ~|     ~|K0             |   5|   0
115|HD 195146                          |** |20 08 35.9351133897 +85 07 27.180379079|     ~| 7.70 | 7.14 |     ~|     ~|F8             |  22|   0
116|BD+86 277                          |*  |18 12 39.9960194180 +86 12 31.451124311|     ~| 9.50 | 9.19 |     ~|     ~|A0             |   0|   0
117|BD+86 281                          |*  |18 20 36.6769409830 +86 16 56.795317150|     ~|10.18 | 9.13 |     ~|     ~|G5             |   0|   0
118|HD 174878                          |V* |18 15 28.6493393792 +86 39 27.887337238|     ~| 8.111| 6.536|     ~|     ~|M2III          |  16|   0
119|BD+86 286                          |*  |18 29 06.5249569126 +86 21 30.748884377|     ~| 9.80 | 9.29 |     ~|     ~|F8             |   1|   0
120|BD+86 289                          |*  |18 45 18.6593520702 +86 38 43.893756174|     ~|10.59 | 9.30 |     ~|     ~|K0             |   0|   0
121|BD+86 290                          |*  |18 48 51.8433446824 +86 44 37.458374605|     ~| 9.60 | 9.17 |     ~|     ~|F2             |   0|   0
122|BD+86 297                          |*  |19 08 25.7272755150 +86 56 11.509348408|     ~| 9.73 | 9.24 |     ~|     ~|F8             |   3|   0
123|BD+86 303                          |*  |19 28 58.5170615251 +86 37 52.571987464|     ~| 9.81 | 8.80 |     ~|     ~|G8             |   2|   0
124|BD+85 331                          |*  |19 15 04.1687764940 +86 08 16.125459021|     ~|10.82 | 9.53 |     ~|     ~|K0             |   0|   0
125|BD+85 345                          |*  |19 57 39.7478063060 +86 22 13.934911973|     ~|10.67 | 9.45 |     ~|     ~|K0             |   0|   0
126|HD 195587                          |*  |20 05 06.1788420346 +86 15 57.032879497|     ~| 9.39 | 8.59 |     ~|     ~|G5             |   4|   0
127|BD+85 353                          |*  |20 25 53.1718129186 +86 27 43.568552936|     ~|10.40 | 9.08 |     ~|     ~|K2             |   0|   0
128|BD+85 304                          |** |18 04 55.5031069476 +85 28 15.841090942|     ~| 9.69 | 9.18 |     ~|     ~|F8             |   6|   0
129|BD+85 320                          |*  |18 37 43.3017667684 +85 36 31.286370401|     ~| 9.32 | 9.06 |     ~|     ~|A0             |   1|   0
