C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
150 |* b And                            |SB*|02 13 13.3221992348 +44 13 53.927938133|     ~| 6.320| 4.826|     ~|     ~|K4-III:              |  98 |   0
151 |V* V436 And                        |a2*|02 21 02.6743167927 +42 56 38.233069101|     ~| 7.24 | 7.27 |     ~|     ~|B8pSr                |  54 |   0
152 |HD 16108                           |*  |02 36 36.1802913939 +42 24 01.888160626|     ~| 6.71 | 6.79 |     ~|     ~|B8                   |  13 |   0
153 |* 12 Per                           |SB*|02 42 14.9141607582 +40 11 38.181760490| 5.65 | 5.51 | 4.92 | 4.42 | 4.12 |F9V                  | 173 |   0
154 |V* V2138 Cyg                       |a2*|20 53 39.8827963948 +41 02 58.444002342|     ~| 7.44 | 7.56 |     ~|     ~|~                    |  18 |   0
155 |HD 199218                          |Be*|20 54 22.2544321627 +40 42 10.649783833| 6.22 | 6.609| 6.702|     ~|     ~|B9Vn                 |  64 |   1
156 |HD 199356                          |Be*|20 55 23.1130120076 +40 18 00.095443902| 6.51 | 7.27 | 7.12 |     ~|     ~|B2IVp                |  52 |   0
157 |HD 197018                          |a2*|20 39 33.31607 +40 34 46.7780          |     ~| 5.964| 6.095|     ~|     ~|B8III                |  70 |   1
158 |HD 199099                          |*  |20 53 26.3905931952 +42 24 36.720182250|     ~| 6.640| 6.662|     ~|     ~|A1V                  |  33 |   0
159 |CCDM J20553+4231AB                 |** |20 55 17.96119 +42 30 48.5189          |     ~| 6.88 | 7.00 |     ~|     ~|B9                   |  16 |   1
160 |HD 200030                          |*  |20 59 24.6193125900 +42 19 28.065666523| 6.1  | 6.377| 6.465|     ~|     ~|B9                   |  19 |   0
161 |HD 199679                          |*  |20 57 25.0178181190 +41 41 22.441837831|     ~| 7.465| 7.338|     ~|     ~|A2                   |   5 |   0
162 |HD 199892                          |SB*|20 58 30.9538280433 +41 56 23.727671395|     ~| 6.076| 6.156|     ~|     ~|B9III:               |  41 |   0
163 |HD 200723                          |PM*|21 03 52.1357648949 +41 37 41.423921381|     ~| 6.720| 6.324|     ~|     ~|F2III                |  44 |   0
164 |HD 198690                          |*  |20 50 39.6495116009 +42 22 55.107470674|     ~| 7.214| 7.309|     ~|     ~|B8                   |  12 |   0
165 |* nu. Cyg                          |** |20 57 10.4190684 +41 10 01.699109      | 3.96 | 3.96 | 3.94 | 3.89 | 3.89 |A0IIIn               | 149 |   0
166 |HD 202710                          |SB*|21 16 17.1263194449 +44 14 17.652890582|     ~| 7.35 | 6.37 |     ~|     ~|K0III+A7V            |  14 |   0
167 |* ksi Cyg                          |SB*|21 04 55.8622910 +43 55 40.264460      | 7.17 | 5.39 | 3.73 | 2.55 | 1.63 |K4.5Ib-II            | 294 |   0
168 |* 68 Cyg                           |SB*|21 18 27.1855667264 +43 56 45.388423736| 4.05 | 4.99 | 5.00 |     ~|     ~|O7.5IIIn((f))        | 359 |   0
169 |HD 203840                          |*  |21 23 20.9029808620 +44 31 05.843441529|     ~| 7.34 | 7.17 |     ~|     ~|A0                   |   3 |   0
170 |HD 204710                          |*  |21 29 06.3354481448 +44 55 23.076023150| 6.97 | 7.153| 6.941|     ~|     ~|B8Ib                 |  36 |   1
171 |HD 204918                          |SB*|21 30 25.8412368737 +44 52 29.961359216|     ~| 7.07 | 6.76 |     ~|     ~|A5                   |  15 |   0
172 |HD 204375                          |*  |21 26 46.5667897894 +43 48 44.474012266|     ~| 7.46 | 7.45 |     ~|     ~|B9V                  |  10 |   0
173 |HD 202617                          |*  |21 15 35.5464803952 +44 57 16.305090351|     ~| 7.37 | 7.44 |     ~|     ~|~                    |   8 |   0
174 |HD 204536                          |*  |21 27 54.3240716777 +46 33 41.436882305| 6.19 | 6.761| 6.857|     ~|     ~|B3III                |  23 |   0
175 |* g Cyg                            |PM*|21 29 26.9499484330 +46 32 26.102370986|     ~| 6.188| 5.217|     ~|     ~|K0-III               |  97 |   0
176 |HD 204812                          |** |21 29 36.7291821205 +46 25 35.252111829|     ~| 6.86 | 6.72 |     ~|     ~|A3                   |   3 |   0
